Category,Shanghai pilot ETS,Norway carbon tax,Sweden carbon tax,BC carbon tax,Tokyo CaT,California CaT,Japan carbon tax,UK Carbon Price Support,France carbon tax,Korea ETS,China national ETS,Canada federal fuel charge,Netherlands carbon tax,Germany ETS,UK ETS,Australia CPM,Ontario CaT
1991,0,86.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,118.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,101.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,115.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,112.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,109.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,94.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,93.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,85.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,58.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,79.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,86.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,82.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,104.95,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,80.95,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,90.59,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,99.27,0,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,96.6,0,30.25,115.66,10,1.15,0,0,0,0,0,0,0,0,0,0
2013,0,94.58,0,29.5,86.27,14.48,1.01,7.5,0,0,0,0,0,0,0,0,0
2014,6.42,92.52,0,27.2,67.78,11.69,1.84,15.89,9.65,0,0,0,0,0,0,0,0
2015,4.73,68.31,0,23.78,37.51,12.49,1.59,26.71,15.59,9.1,0,0,0,0,0,0,0
2016,1.32,65.87,0,23.06,14.64,12.8,2.82,23.72,24.56,15.14,0,0,0,0,0,0,0
2017,4.57,66.81,0,22.53,13.38,15.08,2.57,22.41,32.6,18.23,0,0,0,0,0,0,0
2018,6.2,79.97,0,27.12,5.68,15.1,2.73,25.45,55.29,20.51,0,0,0,0,0,0,0
2019,6.09,72.16,0,29.99,5.85,15.77,2.6,23.58,50.11,23.45,0,14.99,0,0,0,0,0
2020,5.06,63.27,0,28.13,5.57,15.3,2.68,22.28,48.77,32.78,0,21.1,0,0,0,0,0
2021,6.31,80.35,0,35.81,4.87,17.94,2.6,24.79,52.38,15.89,0,31.83,35.23,29.36,0,0,0
2022,9.27,96.3,0,39.96,4.41,30.82,2.36,23.65,49.29,18.74,9.19,39.96,46.14,33.15,98.99,0,0
2023,8.72,94.49,0,48.03,41.95,29.84,2.16,22.27,48.5,11.23,8.15,48.03,60.83,32.62,88.12,0,0
2024,10.06,107.78,127.25,58.94,36.91,38.59,1.9,22.61,47.94,6.3,12.57,58.94,71.48,48.37,45.06,0,0